Designator,Mid X,Mid Y,Rotation,Layer,LCSC
BOOT1,132.19,-63.5,270,top,
C1,165.58,-83.82,0,top,
C10,168.12,-99.06,0,top,
C11,165.58,-99.06,0,top,
C12,163.04,-99.06,0,top,
C13,173.2,-106.68,0,top,
C14,190.02,-53.34,0,top,
C15,190.02,-55.88,0,top,
C16,190.02,-58.42,0,top,
C17,190.02,-60.96,0,top,
C18,172.24,-91.44,0,top,
C19,169.7,-106.68,0,top,
C2,145.26,-78.74,0,top,
C20,162.08,-104.14,0,top,
C3,176.94,-66.04,0,top,
C4,177.32,-71.12,0,top,
C5,177.32,-76.2,0,top,
C6,177.8,-83.82,0,top,
C7,144.78,-68.58,0,top,
C8,175.26,-83.82,0,top,
C9,144.78,-66.04,0,top,
D2,156.995,-86.36,0,top,
D3,160.9575,-88.9,0,top,
D4,153.3375,-86.36,0,top,
D5,174.775,-53.34,0,top,
J1,144.78,-90.235,0,top,
J2,180.34,-101.066,0,top,
J4,156.73,-103.56,180,top,
LEFT1,166.62,-103.225,0,top,
Q1,161.4225,-76.2,180,top,
R1,170.69,-83.82,0,top,
R10,174.75,-81.28,0,top,
R11,169.67,-91.44,0,top,
R12,179.83,-86.36,0,top,
R13,177.29,-88.9,0,top,
R14,167.13,-55.88,0,top,
R15,167.13,-60.96,0,top,
R16,167.13,-63.5,0,top,
R17,167.13,-68.58,0,top,
R18,169.67,-53.34,0,top,
R19,167.13,-53.34,0,top,
R2,145.29,-73.66,0,top,
R3,160.53,-83.82,0,top,
R4,172.6325,-66.175,0,top,
R5,157.48,-81.28,0,top,
R6,172.6325,-70.155,0,top,
R7,177.8,-58.42,0,top,
R8,174.75,-86.36,0,top,
R9,177.29,-81.28,0,top,
RIGHT1,171.45,-103.165,0,top,
RST1,132.08,-57.445,270,top,
U1,156.1275,-61.99,0,top,
U2,172.72,-58.42,0,top,
U3,182.88,-57.14,270,top,
U4,167.64,-96.52,270,top,
